areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E09000018,Hounslow,utla,2020-09-04,0
E09000032,Wandsworth,utla,2020-09-04,0
E09000033,Westminster,utla,2020-09-04,0
E10000034,Worcestershire,utla,2020-09-04,1
W06000023,Powys,utla,2020-09-04,0
E06000003,Redcar and Cleveland,utla,2020-08-28,0
E06000014,York,utla,2020-08-28,0
E06000050,Cheshire West and Chester,utla,2020-08-28,2
E08000001,Bolton,utla,2020-08-28,2
E08000016,Barnsley,utla,2020-08-28,0
E08000031,Wolverhampton,utla,2020-08-28,0
E08000032,Bradford,utla,2020-08-28,2
E09000018,Hounslow,utla,2020-08-28,0
E09000032,Wandsworth,utla,2020-08-28,0
E09000033,Westminster,utla,2020-08-28,0
E10000034,Worcestershire,utla,2020-08-28,0
W06000023,Powys,utla,2020-08-28,0
E06000003,Redcar and Cleveland,utla,2020-08-21,0
E06000014,York,utla,2020-08-21,0
E06000050,Cheshire West and Chester,utla,2020-08-21,0
E08000001,Bolton,utla,2020-08-21,0
E08000016,Barnsley,utla,2020-08-21,0
E08000031,Wolverhampton,utla,2020-08-21,2
E08000032,Bradford,utla,2020-08-21,5
E09000018,Hounslow,utla,2020-08-21,0
E09000032,Wandsworth,utla,2020-08-21,0
E09000033,Westminster,utla,2020-08-21,0
E10000034,Worcestershire,utla,2020-08-21,0
W06000023,Powys,utla,2020-08-21,1
E06000003,Redcar and Cleveland,utla,2020-08-14,0
E06000014,York,utla,2020-08-14,0
E06000050,Cheshire West and Chester,utla,2020-08-14,0
E08000001,Bolton,utla,2020-08-14,1
E08000016,Barnsley,utla,2020-08-14,0
E08000031,Wolverhampton,utla,2020-08-14,1
E08000032,Bradford,utla,2020-08-14,0
E09000018,Hounslow,utla,2020-08-14,2
E09000032,Wandsworth,utla,2020-08-14,0
E09000033,Westminster,utla,2020-08-14,0
E10000034,Worcestershire,utla,2020-08-14,0
W06000023,Powys,utla,2020-08-14,0
E06000003,Redcar and Cleveland,utla,2020-08-07,0
E06000014,York,utla,2020-08-07,1
E06000050,Cheshire West and Chester,utla,2020-08-07,0
E08000001,Bolton,utla,2020-08-07,2
E08000016,Barnsley,utla,2020-08-07,0
E08000031,Wolverhampton,utla,2020-08-07,0
E08000032,Bradford,utla,2020-08-07,3
E09000018,Hounslow,utla,2020-08-07,0
E09000032,Wandsworth,utla,2020-08-07,0
E09000033,Westminster,utla,2020-08-07,3
E10000034,Worcestershire,utla,2020-08-07,1
W06000023,Powys,utla,2020-08-07,1
E06000003,Redcar and Cleveland,utla,2020-07-31,0
E06000014,York,utla,2020-07-31,2
E06000050,Cheshire West and Chester,utla,2020-07-31,3
E08000001,Bolton,utla,2020-07-31,0
E08000016,Barnsley,utla,2020-07-31,1
E08000031,Wolverhampton,utla,2020-07-31,0
E08000032,Bradford,utla,2020-07-31,2
E09000018,Hounslow,utla,2020-07-31,0
E09000032,Wandsworth,utla,2020-07-31,1
E09000033,Westminster,utla,2020-07-31,0
E10000034,Worcestershire,utla,2020-07-31,1
W06000023,Powys,utla,2020-07-31,0
E06000003,Redcar and Cleveland,utla,2020-07-24,0
E06000014,York,utla,2020-07-24,0
E06000050,Cheshire West and Chester,utla,2020-07-24,4
E08000001,Bolton,utla,2020-07-24,0
E08000016,Barnsley,utla,2020-07-24,1
E08000031,Wolverhampton,utla,2020-07-24,1
E08000032,Bradford,utla,2020-07-24,2
E09000018,Hounslow,utla,2020-07-24,2
E09000032,Wandsworth,utla,2020-07-24,0
E09000033,Westminster,utla,2020-07-24,0
E10000034,Worcestershire,utla,2020-07-24,0
W06000023,Powys,utla,2020-07-24,1
E06000003,Redcar and Cleveland,utla,2020-07-17,1
E06000014,York,utla,2020-07-17,0
E06000050,Cheshire West and Chester,utla,2020-07-17,4
E08000001,Bolton,utla,2020-07-17,1
E08000016,Barnsley,utla,2020-07-17,0
E08000031,Wolverhampton,utla,2020-07-17,1
E08000032,Bradford,utla,2020-07-17,1
E09000018,Hounslow,utla,2020-07-17,1
E09000032,Wandsworth,utla,2020-07-17,0
E09000033,Westminster,utla,2020-07-17,0
E10000034,Worcestershire,utla,2020-07-17,1
W06000023,Powys,utla,2020-07-17,0
E06000003,Redcar and Cleveland,utla,2020-07-10,0
